Modelo,Órgano,Accuracy,Precision,Recall
EfficientNetB0,bowel,0.43119657039642334,0.6307692527770996,1.0
EfficientNetB0,extravasation,0.8303418755531311,0.6307692527770996,1.0
EfficientNetB0,kidney,0.8423076868057251,0.7001424431800842,0.7001424431800842
EfficientNetB0,liver,0.644444465637207,0.7001424431800842,0.7001424431800842
EfficientNetB0,spleen,0.6136752367019653,0.7001424431800842,0.7001424431800842
ResNet50V2,bowel,0.6636751890182495,0.7438510060310364,0.7171409130096436
ResNet50V2,extravasation,0.6679487228393555,0.7438510060310364,0.7171409130096436
ResNet50V2,kidney,0.8423076868057251,0.7047333717346191,0.7041310667991638
ResNet50V2,liver,0.644444465637207,0.7047333717346191,0.7041310667991638
ResNet50V2,spleen,0.6269230842590332,0.7047333717346191,0.7041310667991638
MobileNetV2,bowel,0.6829059720039368,0.7512456774711609,0.6639566421508789
MobileNetV2,extravasation,0.6158119440078735,0.7512456774711609,0.6639566421508789
MobileNetV2,kidney,0.8423076868057251,0.7207245826721191,0.719800591468811
MobileNetV2,liver,0.644444465637207,0.7207245826721191,0.719800591468811
MobileNetV2,spleen,0.6739315986633301,0.7207245826721191,0.719800591468811
